ANO;SEXO;NOMBRELOCALIDADRESIDENCIA;CASOS
2015;Hombre;MÇ­rtires;474
2023;Hombre;Sin dato;899
2017;Mujer;MÇ­rtires;27
2017;Hombre;Usme;16
2020;Mujer;Sin dato;157
2015;Hombre;Tunjuelito;31
2016;Mujer;San CristÇübal;36
2022;Hombre;Barrios Unidos;12
2015;Mujer;Suba;2
2016;Mujer;Santa Fe;39
2016;Hombre;Rafael Uribe;33
2019;Hombre;Puente Aranda;13
2024;Mujer;Chapinero;1
2021;Mujer;Puente Aranda;17
2020;Hombre;Antonio NariÇño;4
2021;Mujer;Antonio NariÇño;7
2024;Hombre;Bosa;3
2016;Mujer;Antonio NariÇño;1
2019;Hombre;Chapinero;6
2017;Mujer;Bosa;4
2019;Mujer;Ciudad BolÇğvar;1
2024;Mujer;Santa Fe;3
2016;Mujer;Ciudad BolÇğvar;2
2020;Hombre;Ciudad BolÇğvar;3
2015;Mujer;Tunjuelito;1
2019;Mujer;Kennedy;1
2022;Mujer;UsaquÇ¸n;1
2019;Hombre;Tunjuelito;1
2022;Hombre;Sin dato;1007
2015;Hombre;Sin dato;99
2016;Hombre;Bosa;44
2017;Hombre;San CristÇübal;78
2018;Hombre;Puente Aranda;70
2019;Mujer;Sin dato;251
2021;Hombre;Kennedy;34
2015;Mujer;Bosa;13
2015;Mujer;FontibÇün;4
2020;Hombre;MÇ­rtires;47
2021;Hombre;Bosa;40
2018;Hombre;Bosa;9
2022;Hombre;Chapinero;4
2023;Hombre;San CristÇübal;23
2015;Mujer;Rafael Uribe;13
2016;Hombre;Usme;12
2016;Hombre;Tunjuelito;20
2018;Mujer;Rafael Uribe;2
2020;Hombre;Teusaquillo;3
2015;Hombre;Chapinero;20
2020;Mujer;UsaquÇ¸n;10
2020;Mujer;Barrios Unidos;1
2020;Hombre;Tunjuelito;4
2017;Mujer;Usme;2
2018;Hombre;Barrios Unidos;1
2020;Mujer;Teusaquillo;1
2019;Hombre;Teusaquillo;2
2022;Hombre;Teusaquillo;1
2022;Hombre;Puente Aranda;178
2023;Hombre;EngativÇ­;42
2023;Hombre;Puente Aranda;113
2016;Hombre;San CristÇübal;66
2017;Mujer;Santa Fe;56
2018;Hombre;Santa Fe;478
2019;Hombre;Barrios Unidos;4
2021;Hombre;Santa Fe;223
2018;Mujer;Santa Fe;34
2020;Hombre;San CristÇübal;9
2020;Hombre;Kennedy;52
2022;Hombre;FontibÇün;16
2015;Mujer;Kennedy;10
2021;Hombre;EngativÇ­;38
2018;Mujer;Bosa;3
2020;Hombre;UsaquÇ¸n;38
2017;Mujer;Sin dato;24
2015;Mujer;San CristÇübal;4
2018;Mujer;Kennedy;6
2020;Mujer;Kennedy;6
2015;Mujer;Santa Fe;21
2021;Hombre;Antonio NariÇño;10
2018;Hombre;Teusaquillo;3
2017;Hombre;Chapinero;2
2022;Mujer;Rafael Uribe;2
2018;Mujer;EngativÇ­;1
2015;Hombre;Barrios Unidos;2
2024;Hombre;FontibÇün;1
2024;Mujer;San CristÇübal;1
2021;Mujer;Ciudad BolÇğvar;2
2022;Hombre;UsaquÇ¸n;2
2024;Hombre;Suba;2
2022;Hombre;Santa Fe;419
2015;Hombre;Puente Aranda;508
2015;Hombre;Bosa;76
2016;Hombre;Sin dato;151
2018;Hombre;San CristÇübal;35
2019;Hombre;Sin dato;1866
2020;Mujer;MÇ­rtires;7
2023;Hombre;FontibÇün;2
2015;Hombre;Rafael Uribe;78
2023;Mujer;Antonio NariÇño;1
2015;Mujer;MÇ­rtires;105
2016;Mujer;Puente Aranda;81
2018;Hombre;Rafael Uribe;47
2019;Hombre;Antonio NariÇño;11
2017;Hombre;FontibÇün;44
2020;Hombre;EngativÇ­;4
2016;Hombre;EngativÇ­;25
2024;Hombre;San CristÇübal;11
2020;Hombre;FontibÇün;43
2021;Hombre;Suba;13
2015;Hombre;Candelaria;14
2016;Hombre;Suba;9
2021;Mujer;Chapinero;4
2017;Mujer;Puente Aranda;25
2017;Mujer;San CristÇübal;3
2021;Hombre;Chapinero;13
2020;Hombre;Rafael Uribe;8
2023;Mujer;Teusaquillo;1
2015;Mujer;Chapinero;2
2022;Mujer;Kennedy;1
2024;;Bosa;1
2023;Mujer;San CristÇübal;3
2024;Hombre;Candelaria;1
2022;Mujer;Bosa;1
2017;Mujer;FontibÇün;2
2016;Mujer;Candelaria;1
2024;Hombre;Kennedy;1
2022;Hombre;MÇ­rtires;1157
2023;Hombre;MÇ­rtires;267
2015;Hombre;Suba;17
2016;Hombre;MÇ­rtires;665
2016;Hombre;Kennedy;62
2017;Hombre;Tunjuelito;46
2017;Hombre;MÇ­rtires;129
2020;Hombre;Puente Aranda;264
2016;Mujer;MÇ­rtires;135
2019;Hombre;Santa Fe;27
2020;Hombre;Suba;20
2020;Hombre;Santa Fe;18
2021;Hombre;Ciudad BolÇğvar;5
2022;Mujer;Santa Fe;38
2023;Mujer;Santa Fe;22
2023;Mujer;Sin dato;94
2016;Hombre;Teusaquillo;5
2024;Hombre;Puente Aranda;44
2022;Mujer;Puente Aranda;17
2022;Hombre;Bosa;18
2020;Hombre;Bosa;29
2018;Hombre;EngativÇ­;6
2020;Hombre;Candelaria;26
2019;Mujer;MÇ­rtires;14
2016;Mujer;Sin dato;22
2017;Hombre;EngativÇ­;2
2024;Hombre;Ciudad BolÇğvar;2
2024;Hombre;Santa Fe;25
2015;Hombre;UsaquÇ¸n;3
2019;Mujer;Candelaria;1
2019;Mujer;Santa Fe;4
2020;Mujer;Chapinero;4
2023;Hombre;Ciudad BolÇğvar;3
2017;Mujer;Ciudad BolÇğvar;6
2022;Mujer;Usme;1
2018;Mujer;Antonio NariÇño;2
2016;Mujer;Bosa;2
2021;Mujer;Barrios Unidos;2
2016;Hombre;Barrios Unidos;1
2023;Hombre;Candelaria;17
2015;Mujer;Puente Aranda;122
2016;Hombre;Puente Aranda;439
2016;Hombre;Santa Fe;211
2017;Hombre;Puente Aranda;233
2019;Hombre;Candelaria;6
2021;Hombre;Puente Aranda;160
2021;Hombre;FontibÇün;129
2017;Hombre;Ciudad BolÇğvar;25
2018;Hombre;Candelaria;7
2019;Hombre;Bosa;14
2017;Mujer;Candelaria;1
2022;Mujer;Candelaria;2
2021;Hombre;UsaquÇ¸n;20
2018;Hombre;UsaquÇ¸n;4
2024;Mujer;N.A.;7
2021;Mujer;UsaquÇ¸n;6
2023;Hombre;Antonio NariÇño;6
2021;Hombre;Tunjuelito;8
2024;Mujer;MÇ­rtires;1
2019;Hombre;Usme;5
2019;Mujer;EngativÇ­;1
2024;Hombre;Barrios Unidos;2
2015;Mujer;Barrios Unidos;1
2022;Hombre;Antonio NariÇño;20
2023;Hombre;Santa Fe;194
2017;Hombre;Sin dato;195
2017;Hombre;Santa Fe;197
2022;Mujer;MÇ­rtires;95
2022;Mujer;Sin dato;101
2016;Hombre;Chapinero;7
2018;Hombre;Ciudad BolÇğvar;7
2019;Hombre;MÇ­rtires;118
2017;Hombre;Antonio NariÇño;37
2019;Hombre;EngativÇ­;25
2022;Mujer;San CristÇübal;51
2024;Hombre;MÇ­rtires;43
2018;Hombre;Suba;4
2024;Hombre;EngativÇ­;29
2016;Mujer;Chapinero;1
2016;Hombre;Ciudad BolÇğvar;7
2023;Hombre;Bosa;9
2021;Mujer;FontibÇün;13
2017;Mujer;Rafael Uribe;10
2019;Hombre;Kennedy;16
2021;Mujer;Suba;2
2021;Hombre;Barrios Unidos;8
2024;Hombre;Teusaquillo;3
2020;Mujer;Antonio NariÇño;1
2016;Hombre;Antonio NariÇño;4
2023;Hombre;UsaquÇ¸n;2
2019;Mujer;San CristÇübal;1
2020;Mujer;Candelaria;6
2022;Mujer;Barrios Unidos;2
2018;Hombre;Tunjuelito;3
2018;Mujer;Suba;2
2020;Mujer;Suba;1
2018;Mujer;Ciudad BolÇğvar;1
2015;Mujer;Sin dato;75
2017;Hombre;Rafael Uribe;44
2018;Hombre;Sin dato;507
2015;Mujer;Candelaria;7
2023;Mujer;MÇ­rtires;18
2023;Mujer;EngativÇ­;12
2018;Hombre;Antonio NariÇño;23
2020;Hombre;Chapinero;25
2015;Hombre;FontibÇün;23
2019;Mujer;Antonio NariÇño;1
2021;Mujer;Bosa;5
2019;Hombre;FontibÇün;6
2023;Mujer;Puente Aranda;14
2021;Hombre;Usme;10
2020;Mujer;Bosa;3
2021;Mujer;EngativÇ­;2
2021;Hombre;Teusaquillo;6
2022;Hombre;EngativÇ­;9
2024;Hombre;Chapinero;3
2015;Hombre;Antonio NariÇño;5
2018;Hombre;Chapinero;4
2015;Hombre;EngativÇ­;13
2022;Hombre;Suba;6
2023;Mujer;Kennedy;3
2022;Mujer;Suba;2
2019;Hombre;UsaquÇ¸n;2
2017;Hombre;Candelaria;3
2018;Mujer;Chapinero;1
2021;Mujer;Kennedy;2
2017;Mujer;Tunjuelito;1
2024;Mujer;Bosa;1
2021;Mujer;Teusaquillo;2
2023;Hombre;Teusaquillo;3
2022;Hombre;Tunjuelito;2
2015;Mujer;Antonio NariÇño;2
2024;Hombre;UsaquÇ¸n;1
2023;Mujer;Usme;1
2020;Mujer;EngativÇ­;1
2015;Hombre;Kennedy;64
2015;Hombre;Santa Fe;90
2024;Hombre;N.A.;122
2015;Hombre;Usme;63
2021;Hombre;MÇ­rtires;923
2017;Hombre;Bosa;85
2020;Mujer;Puente Aranda;30
2022;Hombre;San CristÇübal;118
2022;Hombre;Candelaria;42
2015;Hombre;Ciudad BolÇğvar;25
2023;Hombre;Suba;5
2016;Hombre;Candelaria;5
2016;Mujer;Kennedy;5
2020;Hombre;Barrios Unidos;17
2019;Hombre;San CristÇübal;16
2022;Hombre;Usme;4
2017;Mujer;Antonio NariÇño;3
2021;Mujer;San CristÇübal;15
2015;Hombre;Teusaquillo;4
2017;Hombre;Suba;10
2018;Mujer;MÇ­rtires;13
2019;Hombre;Ciudad BolÇğvar;8
2016;Mujer;EngativÇ­;4
2023;Hombre;Chapinero;5
2024;;Puente Aranda;2
2023;Hombre;Usme;4
2016;Mujer;FontibÇün;1
2015;Mujer;Usme;3
2019;Mujer;Rafael Uribe;1
2021;Hombre;Candelaria;6
2020;Mujer;Santa Fe;4
2017;Hombre;UsaquÇ¸n;1
2024;Hombre;Usme;1
2018;Mujer;Sin dato;118
2018;Hombre;MÇ­rtires;119
2020;Hombre;Sin dato;1020
2021;Mujer;MÇ­rtires;45
2021;Hombre;Sin dato;147
2021;Hombre;San CristÇübal;125
2015;Hombre;San CristÇübal;77
2023;Mujer;Chapinero;1
2017;Mujer;Kennedy;6
2023;Hombre;Kennedy;11
2023;Hombre;Barrios Unidos;3
2016;Hombre;FontibÇün;13
2017;Hombre;Kennedy;72
2018;Hombre;Kennedy;42
2021;Mujer;Santa Fe;21
2018;Hombre;FontibÇün;15
2019;Hombre;Rafael Uribe;11
2022;Mujer;EngativÇ­;3
2022;Hombre;Rafael Uribe;6
2015;Mujer;Ciudad BolÇğvar;5
2021;Hombre;Rafael Uribe;13
2021;Mujer;Sin dato;16
2022;Hombre;Kennedy;9
2024;Mujer;Barrios Unidos;2
2016;Mujer;Rafael Uribe;6
2018;Mujer;Puente Aranda;4
2024;Mujer;Puente Aranda;4
2022;Hombre;Ciudad BolÇğvar;5
2016;Hombre;UsaquÇ¸n;2
2018;Mujer;FontibÇün;3
2023;Hombre;Rafael Uribe;2
2020;Mujer;FontibÇün;3
2016;Mujer;Suba;2
2017;Hombre;Teusaquillo;1
2020;Hombre;Usme;2
2017;Hombre;Barrios Unidos;1
2023;Mujer;Rafael Uribe;1
2019;Mujer;Puente Aranda;2
;;; 
